Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Commercial Invoice,Goods Description,"Knitted cotton T-shirts, 100% cotton","Knitted T-shirts, 97% cotton / 3% elastane (short sleeve, crew neck)",Fiber content and description mismatch
Letter of Credit,Commercial Invoice,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy
Letter of Credit,Packing List,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy
Letter of Credit,Packing List,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy
Letter of Credit,Packing List,Cartons per Pallet,50 cartons per pallet,Pallet 7 has 49 cartons,Carton count discrepancy
Letter of Credit,Packing List,Total Cartons,350,349,Total carton count discrepancy
Letter of Credit,Quality Certificate,Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Buyer specification revision mismatch
Letter of Credit,Quality Certificate,Goods Description,"Knitted cotton T-shirts, 100% cotton",Knitted cotton T-shirts,Missing fiber content details
Letter of Credit,Quality Certificate,LC Number,CITI-DXB-2025-001122,Not mentioned,Missing LC number
Letter of Credit,Quality Certificate,Date of Issue,Not specified,20-Sep-2025,Missing date of issue in LC
Letter of Credit,Commercial Invoice,Gross Weight,"4,200.00 kg","4,200.00 kg",No discrepancy in value but formatting difference (decimal places)
Letter of Credit,Packing List,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy
Letter of Credit,Packing List,Marks & Numbers,Not specified,GT/VGE/0913/25,Missing marks & numbers in LC
Letter of Credit,Packing List,Date,Not specified,20-Sep-2025,Missing date in LC
Letter of Credit,Commercial Invoice,Invoice Number,Not specified,INV-2025-0913,Missing invoice number in LC
Letter of Credit,Commercial Invoice,Invoice Date,Not specified,20-Sep-2025,Missing invoice date in LC
