Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Bill of Lading,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy.
Letter of Credit,Bill of Lading,Latest Shipment Date,25-Sep-2025,26-Sep-2025,Shipment date exceeds the latest shipment date allowed by LC.
Letter of Credit,Commercial Invoice,Goods Description,100% cotton,97% cotton / 3% elastane,Goods description does not match LC requirements.
Letter of Credit,Commercial Invoice,Quantity,400 cartons,350 cartons,Quantity discrepancy.
Letter of Credit,Packing List,Quantity,400 cartons,349 cartons,Quantity discrepancy in packing list.
Letter of Credit,Packing List,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy.
Letter of Credit,Packing List,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy.
Letter of Credit,Insurance Certificate,Coverage Clauses,Institute Cargo Clauses (C),Institute Cargo Clauses (A),Coverage clause mismatch.
Letter of Credit,Insurance Certificate,Claims Payable,Vietnam,"Dubai, United Arab Emirates",Claims payable location does not match LC requirements.
Letter of Credit,Quality Certificate,Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Buyer specification revision mismatch.
