Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Bill of Lading,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy between LC and BOL.
Letter of Credit,Bill of Lading,On Board Notation Date,Not later than 25-Sep-2025,26-Sep-2025,Shipment date exceeds the latest shipment date specified in LC.
Letter of Credit,Commercial Invoice,Goods Description,100% cotton,97% cotton / 3% elastane,Goods description does not match LC requirements.
Letter of Credit,Commercial Invoice,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy between LC and Invoice.
Letter of Credit,Insurance Certificate,Coverage Clauses,"Institute Cargo Clauses (C), Institute War Clauses (Cargo), Institute Strikes, Riots and Civil Commotions (Cargo)","Institute Cargo Clauses (A), Institute War Clauses (Cargo), Institute Strikes, Riots & Civil Commotions (Cargo)",Coverage clause mismatch between LC and Insurance Certificate.
Letter of Credit,Insurance Certificate,Claims Payable,Vietnam,"Dubai, United Arab Emirates",Claims payable location does not match LC requirements.
Letter of Credit,Insurance Certificate,Sum Insured,110% of invoice value in USD,"AED 471,000.00",Currency mismatch for sum insured.
Letter of Credit,Packing List,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy between LC and Packing List.
Letter of Credit,Packing List,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy between LC and Packing List.
Letter of Credit,Packing List,Total Cartons,350 cartons,349 cartons,Total cartons discrepancy between LC and Packing List.
Letter of Credit,Quality Certificate,Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Buyer specification revision mismatch between LC and Quality Certificate.
