Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Certificate of Origin,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",Rechargeable Batteries for Consumer Devices (Nickel-Metal Hydride),Mismatch in goods description.
Letter of Credit,Certificate of Origin,Quantity,500 units,480 units,Quantity mismatch.
Letter of Credit,Certificate of Origin,Date of Export,N/A,20 October 2025,Date of export exceeds latest shipment date.
Letter of Credit,Commercial Invoice,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",Rechargeable Lithium-Ion Batteries (Model LP-500),Mismatch in goods description.
Letter of Credit,Commercial Invoice,Quantity,500 units,520 units,Quantity mismatch.
Letter of Credit,Commercial Invoice,Total Amount,"USD 75,000.00","USD 76,440.00",Amount mismatch.
Letter of Credit,Commercial Invoice,Incoterms,"CIF Jebel Ali Port, Dubai, UAE","FOB Yantian Port, China",Incoterms mismatch.
Letter of Credit,Dangerous Goods Declaration,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",Lithium Metal Batteries,Mismatch in goods description.
Letter of Credit,Dangerous Goods Declaration,UN Number,UN 3480,UN 3090,UN number mismatch.
Letter of Credit,Dangerous Goods Declaration,Port of Discharge,"Jebel Ali Port, Dubai, UAE","Port Khalifa, Abu Dhabi, UAE",Port of discharge mismatch.
Letter of Credit,Packing List,Quantity,500 units,500 units,Partial shipment allowed in packing list but not in LC.
Letter of Credit,Packing List,Port of Discharge,"Jebel Ali Port, Dubai, UAE","Port Khalifa, Abu Dhabi, UAE",Port of discharge mismatch.
Letter of Credit,Quality Certificate,Quantity,500 units,480 units,Quantity mismatch.
